Название;Описание;Рэйтинг по <<KinoAfisha>>;Год и страна;Жанр;Продюсер
Игры разума;https://www.kinoafisha.info/movies/4108153/;8.6;2001, США;мистика, драма;РонХовард
Терминатор 2: судный день;https://www.kinoafisha.info/movies/4089627/;8.6;1991, США / Франция;боевик, триллер;ДжеймсКэмерон
Привидение;https://www.kinoafisha.info/movies/3677162/;8.6;1990, США;драма, фэнтези;ДжерриЗакер
Ржев;https://www.kinoafisha.info/movies/8356720/;8.6;2019, Россия;военный, драма;ИгорьКопылов
Брат;https://www.kinoafisha.info/movies/8098609/;8.6;1997, Россия;боевик, драма;АлексейБалабанов
Веном;https://www.kinoafisha.info/movies/8329443/;8.5;2018, США;фантастика, боевик;РубенФлейшер
Живая сталь;https://www.kinoafisha.info/movies/7907273/;8.5;2011, США;драма, боевик;ШонЛеви
Пятый элемент;https://www.kinoafisha.info/movies/3443661/;8.5;1997, Франция;приключения, триллер;ЛюкБессон
Брат 2;https://www.kinoafisha.info/movies/8125705/;8.5;2000, США / Россия;боевик, криминал;АлексейБалабанов
Гарри Поттер и Дары смерти. Часть вторая;https://www.kinoafisha.info/movies/7667825/;8.5;2011, США / Великобритания;семейный, фэнтези;ДэвидЙейтс
Назад в будущее 3;https://www.kinoafisha.info/movies/5412783/;8.5;1990, США;приключения, фантастика;РобертЗемекис
Пираты Карибского моря: На краю света;https://www.kinoafisha.info/movies/911976/;8.5;2007, США;сказка, боевик;ГорВербински
Изгой;https://www.kinoafisha.info/movies/4983627/;8.5;2000, США;приключения, драма;РобертЗемекис
Собачья жизнь 2;https://www.kinoafisha.info/movies/8354806/;8.5;2019, США;семейный;ГейлМанкусо
Джанго освобожденный;https://www.kinoafisha.info/movies/8121248/;8.5;2012, США;вестерн;КвентинТарантино
Движение вверх;https://www.kinoafisha.info/movies/8323017/;8.5;2017, Россия;спорт, драма;АнтонМегердичев
Сумерки. Сага. Новолуние;https://www.kinoafisha.info/movies/7594752/;8.5;2009, США;фэнтези, мелодрама;КрисВайц
Легенда №17;https://www.kinoafisha.info/movies/8141660/;8.5;2012, Россия;биография, спорт;НиколайЛебедев
Шерлок Холмс;https://www.kinoafisha.info/movies/7583200/;8.5;2009, США / Великобритания;драма, боевик;ГайРичи
Камуфляж и шпионаж;https://www.kinoafisha.info/movies/8328970/;8.5;2019, США;анимация, фантастика;ТройКвон,НикБруно
Соник в кино;https://www.kinoafisha.info/movies/8354305/;8.5;2019, США;фэнтези;ДжеффФаулер
Пассажиры;https://www.kinoafisha.info/movies/8176775/;8.5;2016, США;фантастика, приключения;МортенТильдум
Терминатор 2: Судный день 3D;https://www.kinoafisha.info/movies/8327702/;8.5;2017, США;боевик, триллер;ДжеймсКэмерон
ВАЛЛ-И;https://www.kinoafisha.info/movies/3338978/;8.5;2008, США;семейный, фэнтези;ЭндрюСтэнтон
Мстители: Финал;https://www.kinoafisha.info/movies/8319689/;8.5;2019, США;боевик, фантастика;ЭнтониРуссо,ДжоРуссо
Как приручить дракона;https://www.kinoafisha.info/movies/5636910/;8.5;2010, США;анимация, семейный;ДинДеблуа
Форсаж 5;https://www.kinoafisha.info/movies/8027051/;8.5;2011, США;боевик, приключения;ДжастинЛин
Твое имя;https://www.kinoafisha.info/movies/8329875/;8.5;2016, Япония;анимация, фэнтези;МакотоСинкай
Плохие парни навсегда;https://www.kinoafisha.info/movies/8319640/;8.5;2020, США;боевик, криминал;АдильЭльАрби,БилалФалла
Криминальное чтиво;https://www.kinoafisha.info/movies/4366576/;8.5;1994, США;драма;КвентинТарантино
Загадочная история Бенджамина Баттона;https://www.kinoafisha.info/movies/3603047/;8.4;2008, США;мелодрама, драма;ДэвидФинчер
Назад в будущее;https://www.kinoafisha.info/movies/5412787/;8.4;1985, США;приключения, фантастика;РобертЗемекис
Унесенные призраками;https://www.kinoafisha.info/movies/1250373/;8.4;2001, Япония;сказка, семейный;ХаяоМиядзаки
Логан;https://www.kinoafisha.info/movies/8175756/;8.4;2017, США;боевик, фантастика;ДжеймсМэнголд
Брестская крепость;https://www.kinoafisha.info/movies/7949294/;8.4;2010, Россия / Беларусь;драма, военный;АлександрКотт
А зори здесь тихие;https://www.kinoafisha.info/movies/7714889/;8.4;1972, СССР;исторический, драма;СтаниславРостоцкий
Любовь и голуби;https://www.kinoafisha.info/movies/5920923/;8.4;1984, СССР;комедия, мелодрама;ВладимирМеньшов
Чего хотят женщины;https://www.kinoafisha.info/movies/7420163/;8.4;2000, США;мелодрама, комедия;НэнсиМейерс
Рапунцель: Запутанная История;https://www.kinoafisha.info/movies/8106336/;8.4;2010, США;семейный, музыкальный;БайронХовард,НэйтанГрено
Аладдин;https://www.kinoafisha.info/movies/8329596/;8.4;2019, США;приключения, музыкальный;ГайРичи
Алита: Боевой ангел;https://www.kinoafisha.info/movies/8329213/;8.4;2018, США / Канада / Аргентина;фантастика, боевик;РобертРодригес
Железный человек;https://www.kinoafisha.info/movies/1186688/;8.4;2008, США;приключения, фантастика;ДжонФавро
День сурка;https://www.kinoafisha.info/movies/5412773/;8.4;1993, США;комедия, мелодрама;ХаролдРэймис
Человек-паук: Вдали от дома;https://www.kinoafisha.info/movies/8353994/;8.4;2019, США;фантастика, боевик;ДжонУоттс
Джуманджи: Новый уровень;https://www.kinoafisha.info/movies/8354200/;8.4;2019, США;приключения, комедия;ДжейкКэздан
Добрыня Никитич и Змей Горыныч;https://www.kinoafisha.info/movies/611656/;8.4;2006, Россия;сказка, комедия;ИльяМаксимов
Я - легенда!;https://www.kinoafisha.info/movies/2070269/;8.4;2007, США;драма, фантастика;ФренсисЛоуренс
Черный лебедь;https://www.kinoafisha.info/movies/7678205/;8.4;2010, США;драма, триллер;ДарренАронофски
Адвокат дьявола;https://www.kinoafisha.info/movies/3341280/;8.4;1997, США / Германия;триллер, драма;ТэйлорХэкфорд
Пираты Карибского моря: Мертвецы не рассказывают сказки;https://www.kinoafisha.info/movies/8150238/;8.4;2017, США;комедия, фэнтези;ХоакимРоннинг,ЭспенСандберг
Джуманджи;https://www.kinoafisha.info/movies/4273977/;8.4;1995, США;семейный, триллер;ДжоДжонстон
Три богатыря и шамаханская царица;https://www.kinoafisha.info/movies/7627392/;8.4;2010, Россия;сказка, анимация;СергейГлезин
Господин Никто;https://www.kinoafisha.info/movies/7756882/;8.4;2009, Бельгия / Канада / Франция;фантастика, фэнтези;ЖакоВанДормель
Маленькие женщины;https://www.kinoafisha.info/movies/8355161/;8.4;2019, США;мелодрама, драма;ГретаГервиг
Принц Персии: Пески времени;https://www.kinoafisha.info/movies/4876565/;8.4;2010, США;приключения, мелодрама;МайкНьюэлл
Игра;https://www.kinoafisha.info/movies/8099498/;8.4;1997, США;криминал, приключения;ДэвидФинчер
Сонная лощина;https://www.kinoafisha.info/movies/1068693/;8.4;1999, США;триллер, ужасы;ТимБертон
