Название;Описание;Рэйтинг по <<KinoAfisha>>;Год и страна;Жанр;Продюсер
Кунг-Фу Панда 2;https://www.kinoafisha.info/movies/8119257/;8.1;2011, США;комедия, анимация;ДженниферЮ
Обливион;https://www.kinoafisha.info/movies/8124708/;8.1;2013, США;боевик, фантастика;ДжозефКосински
Рыцарь дня;https://www.kinoafisha.info/movies/7810546/;8.1;2010, США;боевик, комедия;ДжеймсМэнголд
Чудо на Гудзоне;https://www.kinoafisha.info/movies/8320983/;8.1;2016, США;драма, биография;КлинтИствуд
Клаустрофобы;https://www.kinoafisha.info/movies/8355319/;8.1;2019, США;ужасы;АдамРобител
Первый Мститель: Противостояние;https://www.kinoafisha.info/movies/8167264/;8.1;2016, США;боевик, фантастика;ЭнтониРуссо,ДжоРуссо
Смертельная гонка;https://www.kinoafisha.info/movies/5351462/;8.1;2008, США;фантастика, триллер;ПолУ.С.Андерсон
Лёд;https://www.kinoafisha.info/movies/8324841/;8.1;2017, Россия;мелодрама;АлександрАндрющенко,ОлегТрофим
Девушка с татуировкой дракона;https://www.kinoafisha.info/movies/8095404/;8.1;2011, США;криминал, триллер;ДэвидФинчер
Список Шиндлера;https://www.kinoafisha.info/movies/3725038/;8.1;1993, США;исторический, военный;СтивенСпилберг
Гарри Поттер и узник Азкабана;https://www.kinoafisha.info/movies/5598/;8.1;2004, США / Великобритания;приключения, семейный;АльфонсоКуарон
Астрал;https://www.kinoafisha.info/movies/8085870/;8.1;2011, США;ужасы, триллер;ДжеймсВан
Жестокие игры;https://www.kinoafisha.info/movies/3923119/;8.1;1999, США;мелодрама, драма;РоджерКамбл
Бункер;https://www.kinoafisha.info/movies/8140929/;8.1;2011, Испания / Колумбия;триллер;АндресБаиз
Железный человек 3;https://www.kinoafisha.info/movies/8133573/;8.1;2013, США;фантастика, боевик;ШейнБлэк
До встречи с тобой;https://www.kinoafisha.info/movies/8178415/;8.1;2016, США;мелодрама;ТеаШэррок
Неудержимые;https://www.kinoafisha.info/movies/7673575/;8.1;2010, США;боевик;СильвестрСталлоне
Апгрейд;https://www.kinoafisha.info/movies/8355159/;8.1;2018, Австралия;фантастика, боевик;ЛиУоннелл
Бурлеск;https://www.kinoafisha.info/movies/7949408/;8.1;2010, США;мелодрама, музыкальный;СтивЭнтин
Адмиралъ;https://www.kinoafisha.info/movies/4219990/;8.1;2008, Россия;драма, биография;АндрейКравчук
Меч короля Артура;https://www.kinoafisha.info/movies/8164842/;8.1;2017, США;фэнтези, боевик;ГайРичи
Исходный код;https://www.kinoafisha.info/movies/8099333/;8.1;2011, США / Франция;драма, фантастика;ДунканДжонс
Небоскреб;https://www.kinoafisha.info/movies/8329434/;8.1;2018, США;боевик;РоусонМаршаллТербер
Трансформеры 3: Темная сторона Луны;https://www.kinoafisha.info/movies/8086726/;8.1;2011, США;приключения, боевик;МайклБэй
Мистер и миссис Смит;https://www.kinoafisha.info/movies/281977/;8.1;2005, США;триллер, приключения;ДагЛайман
Отступники;https://www.kinoafisha.info/movies/923488/;8.1;2006, США;криминал, драма;МартинСкорсезе
Звездные Войны: Эпизод III - Месть ситхов;https://www.kinoafisha.info/movies/221460/;8.1;2005, США;фантастика, приключения;ДжорджЛукас
Малена;https://www.kinoafisha.info/movies/1079414/;8.1;2000, Италия / США;военный, драма;ДжузеппеТорнаторе
Последний богатырь;https://www.kinoafisha.info/movies/8326460/;8.1;2017, Россия;семейный, комедия;ДмитрийДьяченко
Команда А;https://www.kinoafisha.info/movies/5637676/;8.1;2010, США;боевик, триллер;ДжоКарнахан
Фиксики против кработов;https://www.kinoafisha.info/movies/8330445/;8.1;2019, Россия;анимация, детский;ВасикоБедошвили,ОлегУжинов
Калашников;https://www.kinoafisha.info/movies/8356815/;8.1;2020, Россия;военный, исторический;КонстантинБуслов
Добро пожаловать в Зомбилэнд;https://www.kinoafisha.info/movies/7745135/;8.1;2009, США;комедия, ужасы;РубенФлейшер
2012;https://www.kinoafisha.info/movies/7283968/;8.1;2009, США / Канада;драма;РоландЭммерих
Землетрясение;https://www.kinoafisha.info/movies/8320838/;8.1;2016, Россия;драма;СарикАндреасян
Заклятие;https://www.kinoafisha.info/movies/8137286/;8.1;2013, США;триллер, ужасы;ДжеймсВан
Соседка;https://www.kinoafisha.info/movies/7949386/;8.1;2010, США;триллер, криминал;КристианКристенсен
Ученик чародея;https://www.kinoafisha.info/movies/7750251/;8.1;2010, США;сказка, семейный;ДжонТертлтауб
Зеркала;https://www.kinoafisha.info/movies/5475483/;8.1;2008, США;ужасы;АлександрАжа
Балерина;https://www.kinoafisha.info/movies/8326120/;8.1;2017, Франция / Канада;анимация, семейный;ЭрикСаммер,ЭрикУорин
Доспехи Бога 3: миссия Зодиак;https://www.kinoafisha.info/movies/8129732/;8.1;2012, Гонконг / Китай;боевик, приключения;ДжекиЧан
Хоббит: Пустошь Смауга;https://www.kinoafisha.info/movies/8144241/;8.1;2013, США / Новая Зеландия;драма, фэнтези;ПитерДжексон
Хоббит: Пустошь Смауга;https://www.kinoafisha.info/movies/8144241/;8.1;2013, США / Новая Зеландия;драма, фэнтези;ПитерДжексон
Паранормальное явление 3;https://www.kinoafisha.info/movies/8107434/;8.1;2011, США;ужасы;ГенриДжуст,ЭриельШульман
Крепкий орешек;https://www.kinoafisha.info/movies/5038744/;8.1;1988, США;триллер, криминал;ДжонМакТирнан
Вечное сияние чистого разума;https://www.kinoafisha.info/movies/5565/;8.1;2004, США;драма, комедия;МишельГондри
Три метра над уровнем неба. Я тебя хочу;https://www.kinoafisha.info/movies/8135207/;8.1;2012, Испания;мелодрама, драма;ФернандоГонзалезМолина
Воды слонам!;https://www.kinoafisha.info/movies/8051851/;8.1;2011, США;драма;ФренсисЛоуренс
Семь жизней;https://www.kinoafisha.info/movies/5100402/;8.1;2008, США;драма;ГабриэлеМуччино
Семья по-быстрому;https://www.kinoafisha.info/movies/8354071/;8.1;2018, США;комедия;ШонАндерс
Кот в сапогах;https://www.kinoafisha.info/movies/8093232/;8.1;2011, США;фэнтези, комедия;КрисМиллер
Социальная сеть;https://www.kinoafisha.info/movies/8037395/;8.1;2010, США;исторический, драма;ДэвидФинчер
Властелин Колец: Возвращение Короля;https://www.kinoafisha.info/movies/5475/;8.1;2003, США / Новая Зеландия / Германия;фэнтези;ПитерДжексон
Ральф против интернета;https://www.kinoafisha.info/movies/8329618/;8.1;2018, США;анимация, комедия;ФилДжонстон,РичМур
Ледниковый период 4: Континентальный дрейф;https://www.kinoafisha.info/movies/8092661/;8.1;2012, США;комедия, анимация;СтивМартино,МайклТурмейер
Дом странных детей мисс Перегрин;https://www.kinoafisha.info/movies/8157752/;8.1;2016, США;фэнтези, приключения;ТимБертон
Обитель зла;https://www.kinoafisha.info/movies/5388561/;8.1;2002, Германия / Франция / Великобритания;ужасы, боевик;ПолУ.С.Андерсон
Гадкий я 3;https://www.kinoafisha.info/movies/8175982/;8.1;2017, США;приключения, комедия;ПьерКоффин,КрисРено
Три билборда на границе Эббинга, Миссури;https://www.kinoafisha.info/movies/8330387/;8.1;2017, США / Великобритания;драма, триллер;МартинМакДона
Спасти рядового Райана;https://www.kinoafisha.info/movies/3725163/;8.1;1998, США;боевик, военный;СтивенСпилберг
Три дня на побег;https://www.kinoafisha.info/movies/8084789/;8.1;2010, США;триллер, мелодрама;ПолХаггис
Шрэк навсегда;https://www.kinoafisha.info/movies/4981503/;8.1;2010, США;сказка, приключения;МайкМитчелл
Сумерки. Сага. Рассвет: Часть 2;https://www.kinoafisha.info/movies/8098260/;8.0;2012, США;мелодрама, фэнтези;БиллКондон
Хоббит: Битва Пяти Воинств;https://www.kinoafisha.info/movies/7609445/;8.0;2014, США;фэнтези, приключения;ПитерДжексон
Хоббит: Битва Пяти Воинств;https://www.kinoafisha.info/movies/7609445/;8.0;2014, США;фэнтези, приключения;ПитерДжексон
Оно приходит ночью;https://www.kinoafisha.info/movies/8329876/;8.0;2017, США;ужасы, триллер;ТрейЭдвардШульц
Экипаж;https://www.kinoafisha.info/movies/8137305/;8.0;2012, США;драма;РобертЗемекис
Игры разумов;https://www.kinoafisha.info/movies/8329936/;8.0;2018, Ирландия;драма, детектив;ФарадСафиниа
Девятые врата;https://www.kinoafisha.info/movies/3341247/;8.0;1999, Испания / Франция / США;мистика, ужасы;РоманПолански
Звездная пыль;https://www.kinoafisha.info/movies/1179969/;8.0;2007, Великобритания / США;приключения, мелодрама;МэттьюВон
Адреналин;https://www.kinoafisha.info/movies/897622/;8.0;2006, Великобритания / США;драма, боевик;МаркНевелдайн,БрайанТэйлор
Восстание планеты обезьян;https://www.kinoafisha.info/movies/8092686/;8.0;2011, США;фантастика, боевик;РупертУайатт
Район №9;https://www.kinoafisha.info/movies/6660732/;8.0;2009, США;фантастика;НиллБломкамп
9 рота;https://www.kinoafisha.info/movies/351688/;8.0;2005, Россия / Финляндия / Украина;драма, военный;ФедорБондарчук
Балканский рубеж;https://www.kinoafisha.info/movies/8327057/;8.0;2019, Россия / Сербия;боевик, драма;АндрейВолгин
Люди в черном 3;https://www.kinoafisha.info/movies/8088846/;8.0;2012, США;фантастика, приключения;БарриЗонненфельд
Василиса;https://www.kinoafisha.info/movies/8167272/;8.0;2014, Россия;мелодрама, исторический;АнтонСиверс
Терминал;https://www.kinoafisha.info/movies/5654/;8.0;2004, США;мелодрама, драма;СтивенСпилберг
Каратэ-пацан;https://www.kinoafisha.info/movies/7908412/;8.0;2010, США;драма, семейный;ХарольдЦварт
Гарри Поттер и Орден Феникса;https://www.kinoafisha.info/movies/1091223/;8.0;2007, Великобритания / США;сказка, семейный;ДэвидЙейтс
Железный человек 2;https://www.kinoafisha.info/movies/7124847/;8.0;2010, США;фантастика, боевик;ДжонФавро
Тайная жизнь домашних животных 2;https://www.kinoafisha.info/movies/8328824/;8.0;2019, США;анимация, комедия;КрисРено
Эффект бабочки;https://www.kinoafisha.info/movies/5522/;8.0;2004, США;драма, триллер;ЭрикБресс,Дж.МэкиГрабер
Терминатор;https://www.kinoafisha.info/movies/4035680/;8.0;1984, Великобритания / США;триллер, фантастика;ДжеймсКэмерон
Алеша Попович и Тугарин Змей;https://www.kinoafisha.info/movies/107757/;8.0;2004, Россия;семейный, сказка;КонстантинБронзит
Мы - Миллеры;https://www.kinoafisha.info/movies/8129014/;8.0;2013, США;комедия;РоусонМаршаллТербер
История игрушек: Большой побег;https://www.kinoafisha.info/movies/8090393/;8.0;2010, США;драма, приключения;ДжонЛассетер
Стажер;https://www.kinoafisha.info/movies/8163779/;8.0;2015, США;комедия;НэнсиМейерс
1917;https://www.kinoafisha.info/movies/8355993/;8.0;2019, Великобритания / США;военный, драма;СэмМендес
Ледниковый период 2: Глобальное потепление;https://www.kinoafisha.info/movies/556275/;8.0;2006, США;комедия, семейный;КарлосСалдана
Фердинанд;https://www.kinoafisha.info/movies/8157754/;8.0;2017, США;анимация;КарлосСалдана
Монстры на каникулах 3: Море зовет;https://www.kinoafisha.info/movies/8320440/;8.0;2018, США;анимация, семейный;ГенндийТартаковский
Семейка Крудс;https://www.kinoafisha.info/movies/8125629/;8.0;2013, США;анимация, комедия;КеркДеМикко,КрисСандерс
Обещание;https://www.kinoafisha.info/movies/8323082/;8.0;2016, США;драма, исторический;ТерриДжордж
Реквием по мечте;https://www.kinoafisha.info/movies/330148/;8.0;2000, США;драма, криминал;ДарренАронофски
Д'Артаньян и три мушкетёра;https://www.kinoafisha.info/movies/7731575/;8.0;1978, СССР;музыкальный, приключения;ГеоргийЮнгвальд-Хилькевич
Погребенный заживо;https://www.kinoafisha.info/movies/7791518/;8.0;2010, Испания;криминал, триллер;РодригоКортес
Поймай меня, если сможешь;https://www.kinoafisha.info/movies/5239/;8.0;2002, США;комедия;СтивенСпилберг
Американская история Х;https://www.kinoafisha.info/movies/7884372/;8.0;1998, США;криминал, драма;ТониКэй
Идентификация Борна;https://www.kinoafisha.info/movies/81992/;8.0;2002, США / Германия / Чехия;триллер;ДагЛайман
Одиннадцать друзей Оушена;https://www.kinoafisha.info/movies/3747423/;8.0;2001, США / Австралия;криминал, триллер;СтивенСодерберг
Коммандос;https://www.kinoafisha.info/movies/4076503/;8.0;1985, США;боевик, приключения;МаркЛ.Лестер
Мулан;https://www.kinoafisha.info/movies/251055/;8.0;1998, США;семейный, анимация;ТониБэнкрофт,БарриКук
Дело Ричарда Джуэлла;https://www.kinoafisha.info/movies/8356591/;8.0;2019, США;драма;КлинтИствуд
Обитель проклятых;https://www.kinoafisha.info/movies/8166688/;8.0;2014, США;триллер;БрэдАндерсон
Гарри Поттер и Тайная Комната;https://www.kinoafisha.info/movies/5237/;8.0;2002, США / Великобритания / Германия;мистика, приключения;КрисКоламбус
Рапунцель навсегда;https://www.kinoafisha.info/movies/8130421/;8.0;2012, США;детский, анимация;НатанГрино,БайронХовард
За бортом;https://www.kinoafisha.info/movies/8329840/;8.0;2018, США;мелодрама, комедия;БобФишер,РобГринберг
Полицейский с Рублевки. Новогодний беспредел;https://www.kinoafisha.info/movies/8332708/;8.0;2018, Россия;комедия, драма;ИльяКуликов
Мальчишник в Вегасе;https://www.kinoafisha.info/movies/7556324/;8.0;2009, США;комедия;ТоддФиллипс
Казино Рояль;https://www.kinoafisha.info/movies/887009/;8.0;2006, США / Германия / Великобритания / Чехия;приключения, боевик;МартинКэмпбелл
На крючке;https://www.kinoafisha.info/movies/4589160/;8.0;2008, США;драма, триллер;ДиДжейКарузо
Мегамозг;https://www.kinoafisha.info/movies/8102606/;8.0;2010, США;комедия, семейный;ТомМакГард
Путь домой;https://www.kinoafisha.info/movies/8355299/;8.0;2019, США;приключения, семейный;ЧарльзМартинСмит
Укрась прощальное утро цветами обещания;https://www.kinoafisha.info/movies/8353932/;8.0;2018, Япония;анимация, драма;МариОкада,ТосияСинохара
Паранормальное явление 2;https://www.kinoafisha.info/movies/8092152/;8.0;2010, США;ужасы;ТодУильямс
Элвин и бурундуки 2;https://www.kinoafisha.info/movies/7234155/;8.0;2009, США;фантастика, комедия;БеттиТомас
Меняющие реальность;https://www.kinoafisha.info/movies/8016594/;8.0;2010, США;фантастика, мелодрама;ДжорджНолфи
Ледокол;https://www.kinoafisha.info/movies/8175957/;8.0;2016, Россия;драма;НиколайХомерики
Шрэк 2;https://www.kinoafisha.info/movies/5639/;8.0;2004, США;сказка, комедия;ЭндрюАдамсон,КеллиЭсбери,КонрадВернон
Мотылек;https://www.kinoafisha.info/movies/8353914/;8.0;2017, Сербия / Черногория / Мальта / США;драма, криминал;МихаэльНоер
Мумия;https://www.kinoafisha.info/movies/5372442/;8.0;1999, США;триллер, комедия;СтивенСоммерс
Гадкий я;https://www.kinoafisha.info/movies/8094215/;8.0;2010, США;семейный, анимация;ПьерКоффин,КрисРено
Индиана Джонс и последний крестовый Поход;https://www.kinoafisha.info/movies/4746888/;8.0;1989, США;фантастика, боевик;СтивенСпилберг
Отряд самоубийц;https://www.kinoafisha.info/movies/8169867/;8.0;2016, США;боевик, фантастика;ДэвидЭйр
Отряд самоубийц;https://www.kinoafisha.info/movies/8169867/;8.0;2016, США;боевик, фантастика;ДэвидЭйр
Выживший;https://www.kinoafisha.info/movies/8166610/;8.0;2015, США;приключения, драма;АлехандроГонсалесИньярриту
Доктор Сон;https://www.kinoafisha.info/movies/8354825/;8.0;2019, США;мистика, ужасы;МайкФлэнеган
Брюс Всемогущий;https://www.kinoafisha.info/movies/5409/;8.0;2003, США;сказка, комедия;ТомШэдьяк
Терминатор: да придет спаситель;https://www.kinoafisha.info/movies/4874170/;8.0;2009, США / Германия / Великобритания;триллер, фантастика;МакДжи
Легенды ночных стражей;https://www.kinoafisha.info/movies/7667809/;8.0;2010, США / Австралия;фэнтези, анимация;ЗакСнайдер
Одаренная;https://www.kinoafisha.info/movies/8323080/;8.0;2017, США;драма;МаркУэбб
Каникулы строгого режима;https://www.kinoafisha.info/movies/7589775/;8.0;2009, Россия;комедия, криминал;ИгорьЗайцев
Отличница легкого поведения;https://www.kinoafisha.info/movies/8085417/;8.0;2010, США;комедия, мелодрама;УиллГлак
Правдивая ложь;https://www.kinoafisha.info/movies/4094615/;8.0;1994, США;боевик, комедия;ДжеймсКэмерон
Приключения Паддингтона 2;https://www.kinoafisha.info/movies/8328269/;8.0;2017, Великобритания / Франция;фэнтези, семейный;ПолКинг
Лицо со шрамом;https://www.kinoafisha.info/movies/4158991/;8.0;1983, США;драма, криминал;БрайанДеПальма
Турецкий гамбит;https://www.kinoafisha.info/movies/163123/;8.0;2005, Россия;криминал, исторический;ДжаникФайзиев
История игрушек 4;https://www.kinoafisha.info/movies/8178514/;8.0;2019, США;комедия, фэнтези;ДжошКули
Смешарики. Начало;https://www.kinoafisha.info/movies/8105871/;8.0;2011, Россия;анимация, детский;ДенисЧернов
Моана;https://www.kinoafisha.info/movies/8162048/;8.0;2016, США;анимация;ДжонМаскер,РонКлементс
Человек-муравей и Оса;https://www.kinoafisha.info/movies/8319876/;8.0;2018, США;фантастика, боевик;ПейтонРид
Кролик Питер;https://www.kinoafisha.info/movies/8330397/;8.0;2018, США;анимация, семейный;УиллГлак
Ультиматум Борна;https://www.kinoafisha.info/movies/1179945/;8.0;2007, США;приключения, триллер;ПолГринграсс
Форсаж: Хоббс и Шоу;https://www.kinoafisha.info/movies/8354592/;7.9;2019, США;боевик, криминал;ДэвидЛитч
Джон Уик 2;https://www.kinoafisha.info/movies/8324301/;7.9;2016, США;боевик;ЧадСтахелски
Поезд в Пусан;https://www.kinoafisha.info/movies/8327355/;7.9;2016, Корея;ужасы, боевик;ЕнСан-хо
Интерстеллар;https://www.kinoafisha.info/movies/5435814/;7.9;2014, США / Великобритания;фантастика;КристоферНолан
Сайлент Хилл;https://www.kinoafisha.info/movies/669802/;7.9;2006, Канада / Франция;ужасы, триллер;КристофГан
Смертельная битва;https://www.kinoafisha.info/movies/8126666/;7.9;1995, США;боевик, фэнтези;ПолУ.С.Андерсон
Angry Birds 2 в кино;https://www.kinoafisha.info/movies/8329714/;7.9;2019, США;анимация, детский;ТуропВанОрман
Скала;https://www.kinoafisha.info/movies/7577402/;7.9;1996, США;боевик, приключения;МайклБэй
Крестный отец 2;https://www.kinoafisha.info/movies/4158964/;7.9;1974, США;триллер, драма;ФрэнсисФордКоппола
Мир Юрского периода 2;https://www.kinoafisha.info/movies/8322908/;7.9;2018, США;фантастика, боевик;ХуанАнтониоБайона
Последний самурай;https://www.kinoafisha.info/movies/5506/;7.9;2003, США;приключения, боевик;ЭдвардЦвик
Черная Пантера;https://www.kinoafisha.info/movies/8178516/;7.9;2018, США;драма, боевик;РайанКуглер
Фантастические твари и где они обитают;https://www.kinoafisha.info/movies/8168523/;7.9;2016, Великобритания / США;семейный, фэнтези;ДэвидЙейтс
Ёлки;https://www.kinoafisha.info/movies/8092597/;7.9;2010, Россия;комедия;ЯрославЧеважевский,ДмитрийКиселев,ТимурБекмамбетов,АлександрВойтинский
Ранго;https://www.kinoafisha.info/movies/7907309/;7.9;2011, США;семейный, приключения;ГорВербински
Стражи Галактики;https://www.kinoafisha.info/movies/8153057/;7.9;2014, США;фантастика, боевик;ДжеймсГанн
Шерлок: Безобразная невеста;https://www.kinoafisha.info/movies/8322027/;7.9;2016, Великобритания;сериал, детектив;ДугласМаккиннон
Город героев;https://www.kinoafisha.info/movies/8157679/;7.9;2014, США;комедия, боевик;ДонХолл,КрисУильямс
Аладдин;https://www.kinoafisha.info/movies/4479302/;7.9;1992, США;сказка, музыкальный;ДжонМаскер
Быстрый и мертвый;https://www.kinoafisha.info/movies/5166733/;7.9;1995, США / Япония;вестерн;СэмРэйми
Призрак;https://www.kinoafisha.info/movies/7663900/;7.9;2010, США;криминал, драма;РоманПолански
Вспомнить все;https://www.kinoafisha.info/movies/4089322/;7.9;1990, США;приключения, ужасы;ПолВерховен
Гринч;https://www.kinoafisha.info/movies/8175983/;7.9;2018, США;анимация;ЯрроуЧейни,СкоттМоужер
Хроники Нарнии: Покоритель зари;https://www.kinoafisha.info/movies/5531503/;7.9;2010, Великобритания;приключения;МайклЭптид
Вкус жизни;https://www.kinoafisha.info/movies/1445156/;7.9;2007, США / Австралия;мелодрама, драма;СкоттХикс
Суини Тодд, демон-парикмахер с Флит-стрит;https://www.kinoafisha.info/movies/3319184/;7.9;2007, США;музыкальный, ужасы;ТимБертон
Мег: Монстр глубины;https://www.kinoafisha.info/movies/8326750/;7.9;2018, США;ужасы, фантастика;ДжонТертелтауб
Алиса в Зазеркалье;https://www.kinoafisha.info/movies/8167241/;7.9;2016, США;семейный, приключения;ДжеймсБобин
Крид 2;https://www.kinoafisha.info/movies/8353728/;7.9;2018, США;спорт, драма;СтивенКейплмл.
Поворот не туда;https://www.kinoafisha.info/movies/5417/;7.9;2003, США;триллер, ужасы;РобШмидт
Гравитация;https://www.kinoafisha.info/movies/8105955/;7.9;2013, США / Великобритания;фантастика, триллер;АльфонсоКуарон
Форсаж 4;https://www.kinoafisha.info/movies/5123119/;7.9;2009, США;боевик;ДжастинЛин
План побега;https://www.kinoafisha.info/movies/8136743/;7.9;2013, США;триллер, боевик;МикаэльХофстрем
Я - Четвертый;https://www.kinoafisha.info/movies/8099986/;7.9;2011, США;фантастика, боевик;ДиДжейКарузо
Ральф;https://www.kinoafisha.info/movies/8125625/;7.9;2012, США;анимация;РичМур
История Рыцаря;https://www.kinoafisha.info/movies/6894041/;7.9;2001, США;приключения, комедия;БрайанХелджленд
Неизвестный;https://www.kinoafisha.info/movies/8103233/;7.9;2011, США;драма, криминал;ХаумеКольет-Серра
Секретарша;https://www.kinoafisha.info/movies/5242/;7.9;2002, США;комедия, мелодрама;СтивенШейнберг
Звездные собаки: Белка и Стрелка;https://www.kinoafisha.info/movies/5631573/;7.9;2009, Россия;детский, анимация;СвятославУшаков
Безумный Макс: Дорога ярости;https://www.kinoafisha.info/movies/8148179/;7.9;2015, Австралия;приключения, боевик;ДжорджМиллер
Я плюю на ваши могилы;https://www.kinoafisha.info/movies/8090127/;7.9;2010, США;ужасы;СтивенР.Монро
Время ведьм;https://www.kinoafisha.info/movies/7593268/;7.9;2010, США;приключения, фэнтези;ДоминикСена
Робин Гуд;https://www.kinoafisha.info/movies/7620456/;7.9;2010, США;боевик, драма;РидлиСкотт
Элвин и бурундуки 3;https://www.kinoafisha.info/movies/8089875/;7.9;2011, США;семейный, музыкальный;МайкМитчел
2001 год: Космическая одиссея;https://www.kinoafisha.info/movies/1025164/;7.9;1968, США / Великобритания;фантастика, приключения;СтэнлиКубрик
Пипец;https://www.kinoafisha.info/movies/7624001/;7.9;2009, США;боевик, драма;МэттьюВон
Форсаж 8;https://www.kinoafisha.info/movies/8175978/;7.9;2017, США;боевик, триллер;Ф.ГэриГрей
Облачный атлас;https://www.kinoafisha.info/movies/8121044/;7.9;2012, США;фантастика;ТомТыквер,Лилли(Энди)Вачовски,ЛанаВачовски
Опасная игра Слоун;https://www.kinoafisha.info/movies/8323407/;7.9;2016, США;драма;ДжонМэдден
Три богатыря и наследница престола;https://www.kinoafisha.info/movies/8354240/;7.9;2018, Россия;анимация, приключения;КонстантинБронзит
Рождественская история;https://www.kinoafisha.info/movies/7836285/;7.9;2009, США;драма, фэнтези;РобертЗемекис
Шоколад;https://www.kinoafisha.info/movies/3341251/;7.9;2000, Великобритания / США;драма, комедия;ЛассеХалльстрем
Невидимый гость;https://www.kinoafisha.info/movies/8354569/;7.9;2017, Испания;криминал, триллер;ОриолПаоло
2+1;https://www.kinoafisha.info/movies/8327108/;7.9;2016, Франция;комедия, семейный;ХьюгоЖелен
Форсаж 6;https://www.kinoafisha.info/movies/8124698/;7.9;2013, США;боевик, драма;ДжастинЛин
Обитель зла: Последняя глава;https://www.kinoafisha.info/movies/8178213/;7.9;2016, Германия / Австралия / Канада / Франция;триллер, боевик;ПолУ.С.Андерсон
С любовью, Рози;https://www.kinoafisha.info/movies/8164705/;7.9;2014, Великобритания / США;комедия, мелодрама;КристианДиттер
Патриот;https://www.kinoafisha.info/movies/5377153/;7.9;2000, Германия / США;драма, военный;РоландЭммерих
Двойная жизнь Чарли Сан-Клауда;https://www.kinoafisha.info/movies/7949318/;7.9;2010, США;драма;БаррСтирс
Экипаж;https://www.kinoafisha.info/movies/8165130/;7.9;2016, Россия;драма, приключения;НиколайЛебедев
Храбрая сердцем;https://www.kinoafisha.info/movies/8115905/;7.9;2012, США;семейный, анимация;МаркЭндрюс,БрендаЧепмен
Кровавый алмаз;https://www.kinoafisha.info/movies/1091377/;7.9;2006, США;триллер, драма;ЭдвардЦвик
Пила 6;https://www.kinoafisha.info/movies/7740273/;7.9;2009, США / Канада / Великобритания / Австралия;триллер, мистика;КевинГретерт
Капитан Марвел;https://www.kinoafisha.info/movies/8178517/;7.9;2019, США;приключения, фэнтези;АннаБоден,РайанФлек
Агенты А.Н.К.Л.;https://www.kinoafisha.info/movies/8158491/;7.9;2015, США;комедия, приключения;ГайРичи
Ёлки 2;https://www.kinoafisha.info/movies/8112220/;7.9;2011, Россия;комедия;ДмитрийКиселев
Дьявол;https://www.kinoafisha.info/movies/8090424/;7.9;2010, США;ужасы, триллер;ДрюДаудл,ДжонЭрикДаудл
Пророк;https://www.kinoafisha.info/movies/1300779/;7.9;2007, США;фантастика, триллер;ЛиТамахори
Луна 2112;https://www.kinoafisha.info/movies/7584776/;7.9;2009, Великобритания;триллер, фантастика;ДунканДжонс
Тор;https://www.kinoafisha.info/movies/7922077/;7.9;2011, США;боевик, приключения;КеннетБрана
Царство небесное;https://www.kinoafisha.info/movies/243120/;7.9;2005, Испания / США;мелодрама, военный;РидлиСкотт
Илья Муромец и Соловей Разбойник;https://www.kinoafisha.info/movies/1106555/;7.9;2007, Россия;приключения, комедия;ВладимирТоропчин
Сибирский цирюльник;https://www.kinoafisha.info/movies/5927378/;7.9;1998, Россия / Франция / Италия / Чехия;исторический, драма;НикитаМихалков
Темный рыцарь: Возрождение легенды;https://www.kinoafisha.info/movies/8094803/;7.9;2012, США / Великобритания;драма, триллер;КристоферНолан
Пингвины мистера Поппера;https://www.kinoafisha.info/movies/8107765/;7.9;2011, США;комедия;МаркУотерс
Красавчик;https://www.kinoafisha.info/movies/5478543/;7.9;2007, Германия;мелодрама, комедия;ТильШвайгер
Джон Картер;https://www.kinoafisha.info/movies/8120732/;7.9;2012, США;приключения, фантастика;ЭндрюСтэнтон
Особое мнение;https://www.kinoafisha.info/movies/5223/;7.9;2002, США;фантастика, боевик;СтивенСпилберг
Во власти стихии;https://www.kinoafisha.info/movies/8354204/;7.8;2018, США;драма;БальтасарКормакур
Отпуск по обмену;https://www.kinoafisha.info/movies/1057777/;7.8;2006, США;мелодрама, комедия;НэнсиМейерс
Однажды в Вегасе;https://www.kinoafisha.info/movies/4609221/;7.8;2008, США;комедия;ТомВон
Расплата;https://www.kinoafisha.info/movies/8178414/;7.8;2016, США;драма;ГэвинО'Коннор
Человек дождя;https://www.kinoafisha.info/movies/4981502/;7.8;1988, США;драма;БарриЛевинсон
Путешествие 2: Таинственный остров;https://www.kinoafisha.info/movies/8099426/;7.8;2011, США;фантастика, приключения;БрэдПейтон
Мстители: Эра Альтрона;https://www.kinoafisha.info/movies/8142040/;7.8;2015, США;боевик, приключения;ДжоссУидон
Другой мир: Пробуждение;https://www.kinoafisha.info/movies/7949413/;7.8;2012, США;фантастика, ужасы;МансМорлинд,БьернШтейн
Первый мститель: Другая война;https://www.kinoafisha.info/movies/8140254/;7.8;2014, США;приключения, фантастика;ЭнтониРуссо,ДжоРуссо
Парфюмер: история одного убийцы;https://www.kinoafisha.info/movies/829730/;7.8;2006, Германия / Франция / Испания / США;триллер, драма;ТомТыквер
Придурки из Хаззарда;https://www.kinoafisha.info/movies/427918/;7.8;2005, США / Австралия;комедия, приключения;ДжэйЧэндрасекар
